instant,season,yr,mnth,holiday,weekday,workingday,weathersit,temp,atemp,hum,windspeed,cnt,year,day,dayofweek,hour
1,1,0,1,0,6,0,2,0.36078910774513484,0.37351737876240565,0.8286200514138816,0.24896987304749846,985,2011,1,5,0
2,1,0,1,0,0,0,2,0.3852322791121323,0.3605406691078177,0.7157706940874035,0.43962478901307567,801,2011,2,6,0
3,1,0,1,0,1,1,1,0.17370537010563825,0.14483010827663617,0.4496380462724935,0.4391270124511231,1349,2011,3,0,0
4,1,0,1,0,2,1,1,0.17830768852987322,0.17464923767409474,0.6071311053984575,0.24864523615926853,1562,2011,4,1,0
5,1,0,1,0,3,1,1,0.21242889253485225,0.19715830273143586,0.4493131105398457,0.30622283465572364,1600,2011,5,2,0
6,1,0,1,0,4,1,1,0.18381123102398045,0.20232877201420157,0.5329161953727505,0.09556639073252582,1606,2011,6,3,0
7,1,0,1,0,5,1,2,0.17390536084024472,0.17033985695428766,0.51279794344473,0.26688982927778887,1510,2011,7,4,0
8,1,0,1,0,6,0,2,0.13400594352211026,0.10919075526917937,0.550985089974293,0.47915474076986975,959,2011,8,5,0
9,1,0,1,0,0,0,1,0.10025181111862419,0.04870584689635321,0.4464442159383033,0.6850740832200168,822,2011,9,6,0
10,1,0,1,0,1,1,1,0.11607386290711097,0.09427134580791624,0.49657275064267337,0.38492996608410207,1321,2011,10,0,0
11,1,0,1,0,2,1,2,0.13918418463144622,0.14753282375092275,0.7057727506426734,0.16604895480989587,1263,2011,11,1,0
12,1,0,1,0,3,1,1,0.1437865030556813,0.10685295232614672,0.6164987146529561,0.5610130142599998,1162,2011,12,2,0
13,1,0,1,0,4,1,1,0.13400594352211026,0.09426478263289373,0.4837192802056554,0.5531632943026008,1406,2011,13,3,0
14,1,0,1,0,5,1,1,0.12877833761119428,0.14352797435216202,0.5530344473007711,0.1756062647993841,1421,2011,14,4,0
15,1,0,1,0,6,0,2,0.22049940471112356,0.2218909714864173,0.5128534704370179,0.2435960504243328,1248,2011,15,5,0
16,1,0,1,0,0,0,1,0.21839064164875405,0.2036519080987479,0.4974293059125963,0.30954062365343316,1204,2011,16,6,0
17,1,0,1,1,1,0,2,0.14771796648408442,0.12824627762965413,0.5526992287917737,0.3216257728792716,1000,2011,17,0,0
18,1,0,1,0,2,1,2,0.1994041795025699,0.20117890375025066,0.8860329048843186,0.21938246705422532,683,2011,18,1,0
19,1,0,1,0,3,1,2,0.2949782326540315,0.2879296385633262,0.7627136246786631,0.35257448955718873,1650,2011,19,2,0
20,1,0,1,0,4,1,2,0.25636356594112225,0.23099803314770917,0.5535557840616965,0.3257097049332037,1927,2011,20,3,0
21,1,0,1,0,5,1,1,0.14982799531059704,0.10338759591423974,0.47000822622107963,0.6662278297353104,1543,2011,21,4,0
